date,regime_label,ae_error,llm_macro,llm_sentiment,llm_risk,v1_e_broad,v1_e_sat,v1_e_fi,v1_e_safe,v1_e_cash,v2_e_broad,v2_e_sat,v2_e_fi,v2_e_safe,v2_e_cash,v3_e_broad,v3_e_sat,v3_e_fi,v3_e_safe,v3_e_cash,v1_r_n,v1_r_e,v1_edge,v2_r_n,v2_r_e,v2_edge,v3_r_n,v3_r_e,v3_edge
2023-01-06,bull_normal,11.259847640991213,59.0,63.3,33.7,0.2085415272387152,0.16321449074883,0.2603729867614036,0.19636877032954922,0.17150222492150197,0.22851863475082945,0.22039976957731636,0.20209663399171202,0.20742796464920005,0.14155699703094216,0.2693591807017902,0.26678644141257707,0.19814284486185937,0.1619255274864114,0.10378600553736196,0.003696834821066616,0.0035670947635709532,-0.0001297400574956629,0.003696834821066616,0.004969346922645163,0.0012725121015785467,0.003696834821066616,0.006542091186740356,0.0028452563656737396
2023-01-13,bull_normal,11.066617965698242,53.9,57.5,40.55,0.20085918370306335,0.12604185490495795,0.28317027093633884,0.20328988971476925,0.18663880074087064,0.23472767025613095,0.24221270246741067,0.1481643858048861,0.22489524147157233,0.15,0.27350944137336874,0.2766409879130611,0.11652138969856692,0.18332818101500323,0.15,0.005929093009427568,0.004567474252048172,-0.0013616187573793964,0.005929093009427568,0.006961545965146717,0.0010324529557191493,0.005929093009427568,0.007619157081809198,0.00169006407238163
2023-01-20,event_stress,21.41967010498047,55.25,58.85,43.45,0.05,0.0,0.45,0.35,0.15,0.20000000000000007,0.010110472585443404,0.30000000000000004,0.2898895274145564,0.20000000000000007,0.24606116766406294,0.24090229329917978,0.17735733503877343,0.20813416511733143,0.1275450388806524,0.0018376725150313223,0.0026985359732992504,0.0008608634582679281,0.0018376725150313223,0.0024837924566994676,0.0006461199416681453,0.0018376725150313223,0.004928210377699542,0.00309053786266822
2023-01-27,event_stress,21.41967010498047,52.0,64.0,37.75,0.05,0.0,0.45,0.35,0.15,0.20000000000000007,0.010110472585443404,0.30000000000000004,0.2898895274145564,0.20000000000000007,0.2602822742508065,0.2552244888309189,0.1737253545022372,0.19344825245320266,0.11731962996283472,0.0018376725150313223,0.0026985359732992504,0.0008608634582679281,0.0018376725150313223,0.0024837924566994676,0.0006461199416681453,0.0018376725150313223,0.0050748254796666595,0.003237152964635337
2023-02-03,event_stress,20.132614135742188,52.55,64.45,38.5,0.05,0.0,0.45,0.35,0.15,0.07582187621430203,0.07787459942749261,0.4463035243582054,0.2,0.2,0.22532504681554408,0.22666515994947808,0.3289043440479693,0.06910544918700862,0.15,0.00016724591807894653,-0.0007038318788960007,-0.0008710777969749472,0.00016724591807894653,3.7377738172207717e-06,-0.00016350814426172576,0.00016724591807894653,-0.0005138800391281036,-0.0006811259572070501
2023-02-10,bull_normal,12.88224983215332,54.9,62.6,35.3,0.19922418025880123,0.15337107148692178,0.2688401543117276,0.20789388556922356,0.1706707083733259,0.15368334145945692,0.1440887279614946,0.3930956315558156,0.15913229902323298,0.15000000000000002,0.17344406476589122,0.16694429404428537,0.3874920041283693,0.12211963706145416,0.15,-0.004826118930350904,-0.0045949181954779185,0.00023120073487298536,-0.004826118930350904,-0.003575079802606159,0.0012510391277447447,-0.004826118930350904,-0.0031497139912122396,0.0016764049391386642
2023-02-17,bull_normal,13.485366821289062,52.0,57.0,40.75,0.18276782027947958,0.12747969487146465,0.29212701343656644,0.2241801171345347,0.1734453542779547,0.08070873527029093,0.08203293826710882,0.38725832646260033,0.3,0.15,0.0821501618499457,0.08321028415344728,0.41181354319126207,0.272826010805345,0.15,-0.0037099712421358533,-0.0030999932190527877,0.0006099780230830656,-0.0037099712421358533,-0.0022317195549157523,0.001478251687220101,-0.0037099712421358533,-0.002215565439587151,0.0014944058025487023
2023-02-24,bull_normal,15.950748443603516,52.8,58.5,43.65,0.20011860603159248,0.11990221914204874,0.28626073472990715,0.20417623801729504,0.18954220207915667,0.17938621417634332,0.18412672251338552,0.3606910225758036,0.12579604073446765,0.15000000000000002,0.22737789365593103,0.22864072116805528,0.30840161609831934,0.1048115387075933,0.13076823037010116,0.001323230332802333,0.0006373843031608935,-0.0006858460296414394,0.001323230332802333,0.00013989737248838935,-0.0011833329603139434,0.001323230332802333,0.0006452633526359539,-0.000677966980166379
2023-03-03,bull_normal,12.56244945526123,52.8,62.0,37.25,0.18478517548673107,0.14172224883364126,0.2828098734936807,0.2235587511017455,0.1671239510842013,0.05407119609949301,0.05583958748165598,0.4667529592638734,0.27333625715497767,0.15,0.07996078738911765,0.08079008112700631,0.5094755399262145,0.1797735915576616,0.15,0.0008532883792071492,0.0005868459399208656,-0.00026644243928628355,0.0008532883792071492,-0.0009540027447260523,-0.0018072911239332015,0.0008532883792071492,-0.0009446523736444262,-0.0017979407528515754
2023-03-10,bull_normal,11.294658660888672,53.25,61.4,39.55,0.1968461573931946,0.14017413665101844,0.2772304980757784,0.2095159875337574,0.17623322034625105,0.12676359882315832,0.12994330590895045,0.4258189417847793,0.1674741534831119,0.15,0.14922218390521455,0.1514145920797142,0.42943567917309666,0.11992754484197464,0.15,-0.0032033256642727713,-0.0015479811222172068,0.0016553445420555645,-0.0032033256642727713,0.000979750365624293,0.004183076029897064,-0.0032033256642727713,0.00029239144546513714,0.0034957171097379086
